No,E,N,ndsm,ndvi,class6
252,537181.408,5228969.198,4.95,-0.105263158,b
253,537181.442,5228969.309,4.97,-0.161290323,b
254,537181.476,5228969.421,5.01,-0.097087379,b
255,537181.511,5228969.532,5.04,-0.14159292,b
256,537181.545,5228969.643,5.07,-0.128440367,b
257,537181.579,5228969.755,5.11,-0.102222222,b
258,537181.613,5228969.866,5.17,-0.134453782,b
259,537181.648,5228969.978,5.21,-0.100436681,b
260,537181.682,5228970.089,5,-0.115044248,b
261,537181.716,5228970.2,5.31,-0.151020408,b
262,537182.41,5228968.89,4.92,-0.165217391,b
263,537181.75,5228970.312,5.36,-0.130044843,b
264,537181.93,5228968.915,4.91,-0.128205128,b
265,537182.444,5228969.001,4.99,-0.177966102,b
266,537181.785,5228970.423,5.4,-0.181434599,b
267,537182.478,5228969.112,5.06,-0.217741935,b
268,537181.819,5228970.534,5.43,-0.220883534,b
269,537182.513,5228969.224,5.1,-0.162393162,b
270,537181.853,5228970.646,5.47,-0.220338983,b
271,537182.547,5228969.335,5.13,-0.2,b
272,537181.887,5228970.757,5.53,-0.203389831,b
273,537182.581,5228969.447,5.15,-0.172413793,b
274,537182.615,5228969.558,5.19,-0.117370892,b
275,537182.65,5228969.669,5.2,-0.104072398,b
276,537182.684,5228969.781,5.21,-0.095022624,b
277,537182.718,5228969.892,5.25,-0.114155251,b
278,537182.752,5228970.003,5.29,-0.128205128,b
279,537182.787,5228970.115,5.36,-0.133333333,b
280,537182.821,5228970.226,5.42,-0.102564103,b
281,537181.819,5228968.95,4.91,-0.2,b
282,537182.855,5228970.337,5.45,-0.125,b
283,537182.889,5228970.449,5.5,-0.130081301,b
284,537182.924,5228970.56,5.55,-0.125541126,b
285,537182.958,5228970.671,5.58,-0.1953125,b
286,537182.992,5228970.783,5.61,-0.173553719,b
287,537181.296,5228969.232,4.94,-0.120689655,b
288,537181.331,5228969.344,4.98,-0.158798283,b
289,537181.365,5228969.455,5.01,-0.162995595,b
290,537181.399,5228969.566,5.04,-0.186147186,b
291,537181.433,5228969.678,5.08,-0.2,b
292,537181.708,5228968.984,4.91,-0.115207373,b
293,537181.468,5228969.789,5.12,-0.169642857,b
294,537181.502,5228969.9,5.18,-0.220338983,b
295,537181.536,5228970.012,5.21,-0.191111111,b
296,537181.57,5228970.123,5.05,-0.178082192,b
297,537182.299,5228968.924,4.91,-0.136563877,b
298,537181.605,5228970.234,5.31,-0.168141593,b
299,537182.333,5228969.035,4.97,-0.067307692,b
300,537181.639,5228970.346,5.37,-0.146666667,b
301,537182.367,5228969.147,5.04,-0.131221719,b
302,537181.673,5228970.457,5.42,-0.123893805,b
303,537182.401,5228969.258,5.08,-0.104761905,b
304,537181.708,5228970.569,5.46,-0.113043478,b
305,537180.508,5228969.84,4.97,-0.135371179,b
306,537182.436,5228969.369,5.11,-0.092592593,b
307,537181.742,5228970.68,5.49,-0.174468085,b
308,537180.543,5228969.952,5.01,-0.242857143,b
309,537182.47,5228969.481,5.15,-0.114035088,b
310,537181.776,5228970.791,5.52,-0.12605042,b
311,537180.577,5228970.063,5.06,-0.219330855,b
312,537182.504,5228969.592,5.2,-0.145374449,b
313,537180.611,5228970.174,5.13,-0.160784314,b
314,537182.538,5228969.703,5.21,-0.154185022,b
315,537181.596,5228969.018,4.89,-0.115044248,b
316,537180.645,5228970.286,5.18,-0.209302326,b
317,537182.573,5228969.815,5.21,-0.208163265,b
318,537180.68,5228970.397,5.21,-0.2,b
319,537182.607,5228969.926,5.24,-0.2,b
320,537180.714,5228970.509,5.25,-0.165991903,b
321,537182.641,5228970.038,5.32,-0.171806167,b
322,537180.748,5228970.62,5.29,-0.203389831,b
323,537182.675,5228970.149,5.36,-0.214876033,b
324,537180.782,5228970.731,5.31,-0.156521739,b
